ID,CAG_AD25,16_mas,SS,DISC,DISC_XTRA,OVP,Taller_WA
A01733807,0,0,0,0,1,0,0
A00227285,0,0,1,0,1,0,0
A01613122,0,0,1,0,0,0,0
A01275619,0,0,1,0,1,0,0
A00344771,0,0,1,0,0,0,0
A01281202,0,0,1,0,1,0,0
A01372001,0,1,1,0,1,1,0
A01668460,0,0,1,0,0,0,0
A01336489,0,0,1,0,1,0,0
A01337487,1,0,1,0,1,1,1
A01374106,1,1,1,0,1,1,1
A00570712,0,0,1,0,0,0,0
A01422460,0,0,1,0,0,0,0
A01376838,0,0,1,0,1,0,0
A01114498,0,0,1,0,0,0,0
A00571224,0,0,1,0,1,0,0
A01631513,0,0,1,0,1,0,0
A00226867,0,0,1,0,1,0,0
A01366213,0,1,1,0,1,1,1
A07094529,1,1,1,0,1,1,1
A01366227,0,0,1,0,1,1,0
A01640995,0,0,0,0,0,0,0
A01741264,0,0,1,0,1,0,0
A01379610,0,1,1,0,1,1,0
A01378185,0,0,1,0,1,1,0
A01023974,1,1,1,0,1,1,1
A01378985,0,0,1,0,1,0,0
A01632520,0,0,1,0,1,0,0
A01652612,0,0,1,0,1,1,0
A01652479,1,1,1,0,1,1,0
A01251568,1,0,0,0,1,1,0
A01379657,0,0,1,0,0,0,0
A01274924,1,0,1,0,1,1,1
A01378768,0,0,1,0,1,0,0
A01378983,0,0,1,0,1,0,0
A00344960,0,0,1,0,1,0,0
A01633149,1,1,1,0,1,1,1
A01024320,0,0,1,0,0,0,0
